date,new_cases,new_tests,new_tests_per_thousand,tests_per_case,stringency_index,population_density,median_age,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,total_smokers ,percent_pop_infected
4/6/2020,57,5509,0.216,47.932,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/7/2020,100,8037,0.315,58.197,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/8/2020,112,8668,0.34,57.082,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/9/2020,96,10766,0.422,64.861,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/10/2020,100,8212,0.322,70.83,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/11/2020,86,9501,0.373,91.254,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/12/2020,51,6094,0.239,94.326,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/13/2020,33,8195,0.321,102.893,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/14/2020,44,4357,0.171,106.877,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.02
4/15/2020,50,4884,0.192,113.065,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/16/2020,42,8626,0.338,122.828,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/17/2020,39,11527,0.452,154.162,73.15,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/18/2020,36,14980,0.587,198.847,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/19/2020,53,14486,0.568,225.768,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/20/2020,26,10738,0.421,240.003,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/21/2020,13,8108,0.318,283.189,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/22/2020,22,12599,0.494,350.939,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/23/2020,7,14218,0.558,442.107,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
4/24/2020,13,15711,0.616,534.347,69.44,3.202,37.9,15.504,107.791,5.07,13,16.5,29.5,0.03
